,artist_name,title,album,featured_artists,lyrics,date,url,Unnamed: 0
2857,GROGNation,Collina,Sem Censura [EP],[],"Lembra-te que as bombas explodem mas ficam as baratas
Que à descarada nos fodem tipo que temos cataratas
Coisas do diabo, situações maradas
Que acontecem e as pessoas nem sequer estão preparadas
1 para o vaticano e todas as coisas sagradas
2 para os dogmas e desculpas esfarrapadas
3 para as emissões dessas televisões estragadas
Que nos dão informações incompletas ou erradas
A mim não me enganam, comigo não dá, não sou assim tão tapado
Não me soa assim tão verdade tal e qual me têm contado
Mas nem metade do planeta tem notado
Como é que o planeta tem tado no meio do caos organizado
Há uma área 51 em cada decisão do estado
E há sempre um ponto em comum em cada imprecisão dado
Que barões e tubarões te baralham, diversões
Te manobram e te cobram por todas as direcções
Wikileaks, se duvida ligue-se veja por si memo
Não é cinema é assim memo e é uma cena que eu não temo
E sim eu culpo-os de jogos duplos, nunca tiveram nem vão ter escrúpulos (nem pensar)
Cada um por si, zerinho ou um, apanhada
Com a publicidade que nos tenta dar banhada
Às escondidas ou não ela está empenhada
Em chegar e deixar toda a gente apeada
Isto é uma brincadeira mas eu não vejo a piada
Porque é rir para não chorar desta conversa fiada

""Xing Xong"" bem-vindos ao negócio da china
Onde ficar calado é aquilo que o dinheiro ensina
Se não vês devias tens problemas na retina
Então , chamem o .. chamem o .. chamem o COLLINA !! ""

Dá pra
Ver que o mundo é controlado pela DARPA
Dá prazer porque verdade não acaba
E não te caba na cabeça já que a mentira zarpa-a
Numa procura acesa larga as armas
Isso trás azar mas alcança falsa marca e nunca alsa bom karma
Prá'lém disso causa má imagem e atrasa dharmas
Quando à farta contam mensagens nas pausas
Debaixo das minhas barbas e contam em dar-mas
Apesar da história pesar e pensar no travo suevo
Rápido reparo no trevo que trago de Atenas
Até devo a Atena por não ser assim tão bárbaro
A abraçar apenas de olho vivo o mundo escuro como tártaro
Tar te a dizer que corpo robusto
Faz de ti gladiador numa revolução sangrenta
Em parte é injusto só se derrama sangue e a dor aumenta
Evolução humana têm costume d'usar a mente como ferramenta

A realidade é deturpada até chegar aos teus olhos
É cortadas as metades, lavada, à espera que olhes
Com palas nos olhos para não veres fora da caixa
Vê fora dela porque o remetente é assinado com uma cruz suástica
Merkel, a descendente a própria cópia do bigodes
Neo-nazista nata mete a pata na Europa com boches
De gravata Portugal não escapa e papa tudo o que pode
Que venha um Salvador da Pátria e que não dê toques
Na bola, mas isto não é de agora o sururu que vêm de fora
Dar o cú a toda a hora desde o tempo do escudo
Muda o kumbo, muda o tudo mas o culpado um
És tu que te mantens mudo, cego e surdo
Zé povinho, Bovino encornado pela vaca
É mufino ligado a 74 foi a data
Agarrado ao passado isto não ata nem desata
Não é com uma mascara numa marcha de protesto
Que dás a cara...então pára e dá a cara....

""Xing Xong"" bem-vindos ao negócio da china
Onde ficar calado é aquilo que o dinheiro ensina
Se não vês devias tens problemas na retina
Então , chamem o .. chamem o .. chamem o COLLINA !!

Cada rua sua abordagem vantagem por onde andei
Cada uma sabe a sua margem quando agem a margem da lei
Miragem mira mil fontes mil contos,a quem procura
Quem dura desde os contos contar os anos de secura
Faz parte da cultura comer o que eles amassam
Ditado numa ditadura que só nos embaraçam
Tudo é lucro, poder do capital que decapita todo culto
Da jeito a tua aflição e o medo de um tumulto o cumulo
Toda esta merda dá guita ate quando tas no túmulo
(PAUSA WHAAAAt??)
Normal teres religião onde impera a santidade
Da te verdade e paz divina como guerras na cidade
O teu Deus ta no Iraque crack bombas em Bagdade
Ejacula gasolina que abastece tua necessidade
Sem variedade gente que tudo controla
Ha um olho que ve tudo que controla o teu dolar
Fight, cala c like postamos no place porque
Achamos que tudo acaba com likes no facebook
Ves o que tu confias quem devias confiar
É quem chefia novos planos cobardia entre panos
É foda, cercam os manos a anos circularem canos fulanos
Forçados condenados a viver assim
Com sobras , presos por cordas dos senhores do teu pilim
Não tens que ser um Che Guevara se não tens garra pra esse fim
Fica atento a nova saga porque nada é ""mesmo assim""...
Sample: Samora Moises Machel (...) Negligência é crime
A mentira , a informação falsa, que leva a soluções erradas, é crime! (...)

""Xing Xong"" bem-vindos ao negócio da china
Onde ficar calado é aquilo que o dinheiro ensina
Se não vês devias tens problemas na retina
Então , chamem o .. chamem o .. chamem o COLLINA !!

Eu sou da geração do ""ME, ME, ME""
Da luta pela atenção entra ring, ""ding ding""
Da luta pelo euro e o ""benjamin'franklin""
Vale tudo em nome do menino jesus é ""limpinho, limpinho""
Por isso ha quem mate a segunda, roube na terça, trai na quarta
Minta a quinta, os vicios são na sexta e sabado está de ressaca
Domingo levanta-se cedo, vai-se a igreja, come-se a ostia
Põe-se umas moedas na cesta, confessa-se a não há maca
Fácil nigga, difícil é prender quem tenha muita guita
A liberdade é relativa, quando a sociedade te limita
Manos com o meu perfil são bandidos ou desportistas
Rappers ou enterteiners segundo a imprensa sensacionalista
Já da pra teres uma pista e aterragem no pensamento
Se aqui o que é bom vem de fora então vai pra fora ca dentro
E ja que queres mudar, começa pla mentalidade entendes?
Não perguntes o preço certo da felicidade ao fernando mendes
Pois na tv é mais do mesmo, medo e auteridade, são o marketing
Propaganda comanda massas, ""quasi pronti"", tutti quanti
E enquanto perdes tempo a estudar o triangulo dos illuminati
A skitles aumenta as vendas com a morte do trayvon martin
Por isso abre o terceiro olho, metafóricamente falando
E vê através da merda que o mundo te vai mostrando
Não acredites no hype, ""the revolution will not be televised,""
Ya vai ser online, via youtube, deepweb e skype",2014-03-29 00:00:00,https://genius.com/Grognation-collina-lyrics,17.0
2860,GROGNation,Orelhas Quentes,Anatomia de Grog,[],"I' for one' feel safer underground
Let me take you on a trip

Essa gente fala mas não sabe direito
Tenho a orelha quente à pala do que tenho feito
Às vezes tenho a fama mas não tenho o proveito
Às vezes tenho a fama mas não tenho o proveito
Essa gente fala mas não sabe direito
Tenho a orelha quente à pala do que tenho feito
Às vezes tenho a fama mas não tenho o proveito
Às vezes tenho a fama mas não tenho o proveito

A zona 'tá no mapa já não é preciso supor
Por isso a gente move-se à socapa sem ninguém se pôr
E só supondo o people fala igual a quem não liga e noto
Sem ter voto na matéria miséria não tem suporte
Eles falam mal mas dão me follow não descolam disso eu sei
Mas é fake como olham no fim ninguém beefa o rei
Garganta funda essa boca afundo em detergente
E ainda assim imunda a querer deixar a minha orelha quente
E não atento nem tenho tempo para bocas fattys
Fala para aí sozinho estou-me nas tintas se não puder diz me
Porque é triste ver-te falar à toa é o teu fetishe
Nem perto disto eles acham muito mas acabam Medis
Confetis acham que o papel cai do sky
Mas eu fiz para comer uma fatia de apple pie
Trust me daddy só me atrais a baggie não subtrai
Não dá para ficar em standby sou Get Rich or Die Trying

Essa gente fala mas não sabe direito
Tenho a orelha quente à pala do que tenho feito
Às vezes tenho a fama mas não tenho o proveito
Às vezes tenho a fama mas não tenho o proveito
Essa gente fala mas não sabe direito
Tenho a orelha quente à pala do que tenho feito
Às vezes tenho a fama mas não tenho o proveito
Às vezes tenho a fama mas não tenho o proveito

Tantas postas que bocas cospem por mais hate que postem
Eu tenho orelhas quentes porque o grind não é de ontem (Na)
Eu não vou parar mesmo que um dia eles não gostem
Ou que os my mans me encostem para ver o que a mala contem
Mas não me apontem a falange e a abordem
Eu vi uns quantos na montra a querer tocar e não podem (Nah)
E quantos correm boy e quantos olham
Ficaram a fazer a ronda a ver o que os dreads comem (Ya)
E sem saber ser sensato só de surra sorrio
Até o sensi sabe que essa sensação de surra é só cio
Aqui 'tou sabi e sábio assim me associo
E se eles soubessem o que eu suo até soavam um *assobio*
('Tá bem, pode ser assim)
Essa gente fala do que não sabe
Ódio no meu coração não cabe

Essa gente fala mas não sabe direito
Tenho a orelha quente à pala do que tenho feito
Às vezes tenho a fama mas não tenho o proveito
Às vezes tenho a fama mas não tenho o proveito
Essa gente fala mas não sabe direito
Tenho a orelha quente à pala do que tenho feito
Às vezes tenho a fama mas não tenho o proveito
Às vezes tenho a fama mas não tenho o proveito

Sabem bem com quem andei, com quem falei
Eu sei que isso dói-lhes no fim
Mas para seres melhor do que eu, ganhar como eu
Não precisas ter ódio de mim
Sabem bem com quem andei, com quem falei
Eu sei que isso dói-lhes no fim
Mas para seres melhor do que eu, ganhar como eu
Não precisas ter ódio de mim",2019-11-01 00:00:00,https://genius.com/Grognation-orelhas-quentes-lyrics,20.0
2861,GROGNation,Paz / Nada É Impossível,Nada É Por Acaso,['Cláudia Cadima'],"Hoje eu sei que nada me manda a baixo
Hoje só quero estar assim no meu espaço
Aproveitar o tempo que ele é escasso
Hoje só quero tar em paz, tar em paz
Hoje eu sei que nada me manda a baixo
Hoje só quero estar assim no meu espaço
Aproveitar o tempo que ele é escasso
Hoje só quero tar em paz, tar em paz

Eu queria comer porcarias a ver séries no serão
Viver os dias como se fosse sempre férias de verão
Falar e aprender matérias de outra profissão
E encarar as coisas sérias com outra disposição
Por isso procuro o nirvana por meio da meditação
Quero trabalhar em mim coisas que tenho para mudar
Descobrir coisas novas e aceitar o que elas são
E a aproveitar o que a vida tem de bom para me dar
Não é assim tão complicado ter o corpo enquadrado
Com a mente, tar atento ao andamento do meu estado
Basta-me olhar para dentro para poder tar preparado
Para viver o meu fado com toda a intensidade
Ter os meus com saúde e ver o meu irmão graúdo
Faz-me dormir descansado e sentir que já tenho tudo
Arranca-me um sorriso num dia mais carrancudo
Isto é o que eu preciso para ser feliz neste mundo

Hoje eu sei que nada me manda a baixo
Hoje só quero estar assim no meu espaço
Aproveitar o tempo que ele é escasso
Hoje só quero tar em paz, tar em paz
Hoje eu sei que nada me manda a baixo
Hoje só quero estar assim no meu espaço
Aproveitar o tempo que ele é escasso
Hoje só quero tar em paz, tar em paz

Já tive em baixo mas hoje nada me manda abaixo
Rasguei a página do faz de conta e li a paz
De ponta a ponta ate ter em conta
Que sou capaz de tar nas lonas e bem comigo mesmo
O tempo é pouco e o pouco tempo que eu tenho
Eu quero tirar proveito da vida que sempre quis
Sem faltas de respeito, e desleixos
Só na peace, passa o diss e o que disse
Quero é vibe e tar com o pipz
Toma a minha e faz o picz
Que hoje é só pa tar no tchill
Que hoje é só pa tar no tchill
Toma a minha e faz o picz
Quero é vibe e tar com o pipz
Eu quero é vibe e tar com o pipz

Tranquilidade é o feeling, boa vontade é o life style
Iluminamos todo o building com a energia do teu smile
E com mais ou menos pilim, ninguém hipoteca a vibe
Reis, Rainhas todos tchilling, o que nos difere é o naipe
Eu estou como convém, na cama a ver serie com a bae
Teste de stress, estudo de véspera
Sem cábulas e não chumbei
O dia passa como um jamaicano, a partida vai correr bem
E a felicidade é sempre a subir, pergunta ao cota SEBEM

Hoje eu sei que nada me manda a baixo
Hoje só quero estar assim no meu espaço
Aproveitar o tempo que ele é escasso
Hoje só quero tar em paz, tar em paz
Hoje eu sei que nada me manda a baixo
Hoje só quero estar assim no meu espaço
Aproveitar o tempo que ele é escasso
Hoje só quero tar em paz, tar em paz

Já há muito que me retiro pro monte da lua
Prefiro a natureza para que o meu espírito evolua
Debaixo do eucalipto o sol passa pela copa
Relaxo num pedregulho de granito
E sinto como o vento assopra
Inspiro fundo, repito encho o que o pulmão permite
Fecho os olhos, mergulho no infinito
E na vibe que me transmite
Com um bagulho medito tiro da cabeça o que me irrite
Mais leve levito projeto a consciência ao limite
Subo alcanço sem batismo passo o limbo não falha
É critico o lance a mim o abismo não me atrapalha
É o avanço da alma em trance sem mexer uma palha
Descanso calma só quero uma chance e algo que me valha
Por ser vergonhoso e perverso este mundo moderno
Em que não dá pra ver o reverso a volta do cerne
Com o corpo aqui imerso sei o que é viver num inferno
Ligo-me da terra ao universo só quero a minha paz
E estar zen

Guerras não quero mais, porque o mundo não me fere mais
Só quero paz, eu não espero mais, não espero mais (2x)

A diferença entre “saber o que é”
E “sentir o que é”, é da polpa para o vento
Trabalho de equipa, tu rodas a maçaneta
Eu mostro-te a porta
Os dados já estão lançados
Não há razão para o arrependimento
Não me perguntes pelo futuro
Pergunta-me pelo que importa
O que importa é o que te importa
Aqui e agora, sem qualquer motivo
É o terreno semeado, colhido pela planta dos teus pés
É o amor, a paz e a prosperidade em constante cultivo
E agora que sabes quem eu sou, diz-me lá, quem tu és?",2017-04-30 00:00:00,https://genius.com/Grognation-paz-nada-e-impossivel-lyrics,21.0
2863,GROGNation,Barman,Nada É Por Acaso,[],"Ela está sedenta yo
Ela dança, balança, emana confiança
Ela nunca senta yo
Boy até comove a forma como ela se move
Em camara lenta yo
Se entra na pista, ela salienta yo
Fuck GPS, ela desorienta yo
Só para
Só para
Só para
Só para
Só para ir ter com

Barman yeah yeah
Barman yeah yeah
Barman yeah yeah
Barman yeah yeah
Barman yeah yeah yeah yeah yeah yeah yeah yeah
Barman yeah yeah
Barman yeah yeah (2x)

3 da matina para mim é dia
Por isso tenho a stamina que me põe na via
Um puto não atina, quina se bebe
E se fuma voa, voa, voa ave de rapina
Homem das barras aqui ou na china
Até as mina pira, pura aqua fina
Traz a batida que um gajo a pina forte
E assassina e depois assina

Quando rapazes caem peso vira cruz credo
Não interessa o que eu bebo
Nem o que eu pus dred
Nunca foi segredo , boy eu nunca cedo
E se volto cedo a casa é porque tenho arrego
Qualquer boda pra mim é fim de ano
Hoje um tropa dá-me um rim mano
All black viro um cigano
Copo a copo o corpo cai assim mano

Barman yeah yeah
Barman yeah yeah
Barman yeah yeah
Barman yeah yeah
Barman yeah yeah yeah yeah yeah yeah yeah yeah
Barman yeah yeah
Barman yeah yeah

Olha os mais locos é tudo de topo
No copo é licor de Portugal

Beirão o que se bebe aqui afinal
Com um cubo de gelo ou dois aquece o corpo

Tou num forno, no ponto pas bars
Corpo torto, uns bafos de haxx
Prontos pa festa viemos em paz
Trouxemos as rimas e hoje tou capaz

Não paro dou gás em torno do meu eixo
Raros desabafos, mas nunca me queixo
Se é pra ir vamos todos não vos deixo
Estamos safos porque tudo isto é trecho

Festejo é nosso e o fecho é tarde
Chama os rapazes que a turma ta parva

Limpeza que arde é tudo seca adega
Vê como se entorna e ninguém escorrega

Barman yeah yeah
Barman yeah yeah
Barman yeah yeah
Barman yeah yeah
Barman yeah yeah yeah yeah yeah yeah yeah yeah
Barman yeah yeah
Barman yeah yeah

O boy vem com o juice, o boy vem com o sumo
Não saiu muito, mas se saiu assumo
Se entro no mood supoer sayan subo
Que o meu kumbo e os liers caiam soon
Sente a pedrada que a gárgula cospe
5 shots, goleada, grog marca, Lacoste
Noites mais clássica que o machintosh
Nós por nós, como eu gosto, no deboche, mais um coche

Ela está sedenta yo
Ela dança, balança, emana confiança
Ela nunca senta yo
Boy até comove a forma como ela se move
Em camara lenta yo
Se entra na pista, ela salienta yo
Fuck GPS, ela desorienta yo
Só para
Só para
Só para
Só para
Só para ir ter com

Barman yeah yeah
Barman yeah yeah
Barman yeah yeah
Barman yeah yeah
Barman yeah yeah yeah yeah yeah yeah yeah yeah
Barman yeah yeah
Barman yeah yeah
Chama o barman chama chama
Chama o barman chama chama",2017-04-29 00:00:00,https://genius.com/Grognation-barman-lyrics,23.0
2867,GROGNation,Ganda Parvos,Na Via [EP],[],"Puto é ganda parvalhão
Puto é ganda parvalhão
Puto é ganda parvalhão
Puto é ganda parvalhão
Puto é ganda parvalhão
Puto é ganda parvalhão
Puto é ganda parvalhão
Puto é ganda parvalhão

Chora agora, tenho uma crew de parvalhões
Chora agora, tenho uma crew de parvalhões
Chora agora, tenho uma crew de parvalhões
Chora agora, tenho uma crew de parvalhões

O tempo é pouco 'pa poder perdê-lo
Insónias noite a dentro como o bispo sou eu a sê-lo
Não é que o imite, tiro o exemplo sigo o modelo
GROG na BIGBIT, com big beat partir é pesadelo
Cinco mangas, de mangas arregaçadas a mostrar o pelo
Sem tangas, só algumas piadas para quebrar o gelo
Falo sério no rap, somos nós por nós sem selo
O remédio é fazê-lo bem e sem contorcê-lo

Mando barras não te agarras nem que marres até tarde
No teu quarto a decifrar as minhas narsas até Marte
É que eu trato com os comparças
Os compassos como cacos, partos
Com flow´s marados
'Pa ouvidos treinados
Cada caso é um caso
E eu não bazo com quem caso
Blindado é o nosso barco a jato
A tomar os mares
Paras morres, fazes corres
Borras dá de frosques
Atenção madafoka, 5 shot´s

Todo o mundo a aparvalhar, Ai! que parvalhão que eu sou
Avisa a tua empregada que a desarrumação chegou
Vai ficar tudo do avesso, já sabes como é o processo
Quem não curtir do meu verso, cagou e não se limpou
Nasty, o beat do factor, se a cena te infecta
Faz-te tocar cornetas no meio da biblioteca
Os mais parvos do planeta, o terceiro a contar do sol
Parvoíce de nascença e até ir 'pa debaixo do solo

Boy eu não puxo da paleta não me conduz a lado nenhum
Só cartuchos na caneta hating trato um por um
Sei que tudo parece mentira quem chinga não vinga por isso e debocha
People falava só vi trabalho bati no porto muitos na rocha
Sente a crew de parvalhões, faz dobrar quem ta em cima
A subir no teu palco e deixá-lo tipo Hiroshima
Fazer pura chacina a esses rapperes da conchichina
Sem stamina para a corrida então esperem que a GROG ensina

Directamente do espaço, o rap que eu faço vem de Júpiter
O que é que tu queres? Quando eu rimo considero-me Lucifer
Dilacero o teu cérebro e ainda o viro do avesso
Falo a sério, não é lero é maldade aquilo que eu penso
De norte a sul no carro azul até residir no Mussulo
De sol a sol como eu suo não há espaço 'pra ser mais um
Politicamente incorrecto, lamento o meu rap não dá para ser de outra maneira
A partir do momento eu que eu rappo qualquer tema deixa de ser brincadeira

Chora agora, tenho uma crew de parvalhões
Chora agora, tenho uma crew de parvalhões
Chora agora, tenho uma crew de parvalhões
Chora agora, tenho uma crew de parvalhões

Puto é ganda parvalhão
Puto é ganda parvalhão
Puto é ganda parvalhão
Puto é ganda parvalhão
Puto é ganda parvalhão
Puto é ganda parvalhão
Puto é ganda parvalhão
Puto é ganda parvalhão
Grog é uma cambada de parvalhões
Grog é uma cambada de parvalhões
Grog é uma cambada de parvalhões
Grog é uma cambada de parvalhões
Grog é uma cambada de parvalhões
Grog é uma cambada de parvalhões
Grog é uma cambada de parvalhões
Grog é uma cambada de parvalhões

Atirei o pau ao gato mas o gato não morreu
Atirei o pau ao gato mas o gato não morreu
Atirei o pau ao gato mas o gato não morreu
Atirei o pau ao gato mas o gato não morreu",2015-06-01 00:00:00,https://genius.com/Grognation-ganda-parvos-lyrics,27.0
2868,GROGNation,Treinadores de Bancada,Na Via [EP],[],"Peço desculpa, a paciência caduca
Com tanta fruta podre frodo assusta a dona Cuca
Chupa e dou-te um chute, um enxute upa upa
É que a surra veio de surra só para trancar a fuça, nossa
Poser pausa à morsa
Dá-me ganda noja és tu que tás no público
E tas a bater na rocha
Ganda gargalhada dada tu no meio do nada, baza os malucos tão em casa
Chapa ta na braza ganda graça, esta palhaçada
Cheira-me a farçada, disfarçada de conaça, queres a taça
A massa eu dou-te pq a passa a massa o corpo
Abre a caça tu 'tás morto se o assunto dá para o torto
Mete um ponto mais um conto só tas pronto 'pó confroto
Larga o xaxo, 'tás a onde?

Não é de agora já antes quantos olhavam de lado pelo aspecto
Criticavam como santos eram petulantes sem espectro
São tantos os ignorantes em cantos não chegam perto
Tentam por instantes logo vêm que não dá certo
Eu não sedo podes crer nem tão cedo me perco
Viagens constantes sem escolher destino ou trajecto
Vou de olhos brilhantes, assim fico mais desperto
Com neurónios gigantes sou eu a ser humano correto
De agora em diante quem me aborda traz água no bico
Forte e confiante não frito
O teco nem o tico se é mau amante
Dá para atrevido eu não o pico acho interessante eu entretido
Parece-me tímido e se é bom sangue
Eu lido bem e giro o pico
Dou conversa hora avante vem manhã sábado típico

Aqui há rimas pesticidas para qualquer erva daninha
Meu rap é foda, enquanto o teu é uma rapidinha
Patrocínio, KFC, sabes porquê? Advinha!
Meu flow 'tá a deixa o people com pele galinha
Trituro wacks e o Harry Potter já pediu-me a varinha
Disse que a dele não e tão magica como a minha
Aglomero feitos, e tu de feitos só queres mesmo a papinha
Queres beefs e depois vês o diabo a assar sardinha
Ayo! Se queres hardcore então toma lá disto
Pontapé de saída com entradas de pé em risco
Não curtiste não digas curtiste, isso é triste
Niggas querem representar à Texas, isso é a actriz
Bem vindos à selva, há um Scar no covil
Props dá-te mil, o teu som nunca ouviu
Encosto esses bonecos a box tipo happy meal
E esse teu olho gordo, não é mais fat que a minha skill

Deixa de ser pateta e interpreta bem as dicas mano
És tu quem se afecta, se baralha e se pica mano
O meu nome é factor, sou quem trabalha e se aplica mano
E 'tou em linha recta em direcção a meta, fica mano!
Boy eu dou gazada, azar dos azares para quem não dá nada
Só rimas pesadas e a tua malta não está preparada
Está parada né? Nem aguentas a padrada né?
Mais que pedalada a minha malta é tarada man
E não-me cheira que mesmo que queiras consigas acompanhar
Maluqueiras que esses haters nunca tiveram a par
Meu rap é sem maneiras com essas brincadeiras eu não comparo
E não paro, derrubo as barreiras com as quais me deparo
Tou aqui para dar pontapés no que mexe e me odeia
Se ódio te rodeia pontapeia e faz cara feia
Trela curta para esses filhas da puta que não sabem nada
Eu continuo na luta sa foda os treinadores de bancada",2015-06-01 00:00:00,https://genius.com/Grognation-treinadores-de-bancada-lyrics,28.0
2870,GROGNation,Sei Que Esperas,---,['Filipe Gonçalves'],"Cheguei a casa li a carta que ela me escreveu
Disse que estava sempre fora e que me perdeu
Que sofre cansada de estar só
Só de olhar para ela o meu coração dá um nó
Eu disse ""Tem calma
Não percas esse amor na tua vida
É a tua mão que me salva
E dá me o rumo certo nesta corrida""

Sei o que sentes, bem dentro de ti
E acredita que eu sofro por ti
E porque sei que tu esperas por mim
E é por isso que fico sempre junto a ti

Fiquei à espera que me encontrasses
Onde tu deixaste
Que os dias tristes fossem contraste quando tu me achasses
E é engraçado sempre soube ao início
Que por mais voltas que desse voltavamos ao princípio ah
Já tive desfeito e feito num oito nah
Agora é perfeito ter-te no coito
Cúpido que aceite e acerte no ponto
Porque o amor não tem preço e nunca demos desconto nah
Lembras-te de Moçambique, almoço em Maputo
Brindamos ao amor imaginar o fruto
Imaginar o sortudo, eu, tu e o puto
Tentar ser o pai contigo que não tive e não julgo
Se tou longe quero que entendas minha posição
A viver desses versos que eles dizem não ser profissão
Noite é longa mas depois de terem acabado o drama
Espero que aqueças o meu lado frio da cama

Valeu a espera
Eu sei valeu a espera
Eu sei que valeu a espera
Valeu a espera, valeu a espera, valeu a espera ahn

Baby tu sabes...
Sei o que sentes, bem dentro de ti
E acredita que sofro por ti
E porque sei que tu esperas por mim
E é por isso que fico sempre junto a ti

Ainda não nasceste e a galeria são só fotos vossas
Prioridades és tu, a tua mãe e as nossas coisas
Nunca hão de ser um peso que eu carrego às costas
Porque a vida tem mostrado que dá muitas voltas
Todas no sentido de me pôr à prova
És a boa nova minha coroa aprova
Ser avó adora, familía comemora
Ninguém 'tava a espera, agora todos esperam pela hora
Do teu nascimento, ouvir o teu batimento
Foi um sentimento raro e comovente
Ver a tua mãe a chorar sorridente
São memórias que eu vou guardar para sempre
Certamente, quero-vos eternamente
Prepetuar o momento que me tornou homem diferente
Mais atento e mais presente
Eu sei que 'tou um homem diferente

Sei o que sentes, bem dentro de ti
E acredita que sofro por ti
E porque sei que tu esperas por mim
E é por isso que fico sempre junto a ti
Sei o que sentes, bem dentro de ti
E acredita que sofro por ti
E porque sei que tu esperas por mim
E é por isso que fico sempre junto a ti
E é por isso que fico sempre junto a ti",2017-12-22 00:00:00,https://genius.com/Grognation-sei-que-esperas-lyrics,30.0
2871,GROGNation,Nada É Por Acaso,Nada É Por Acaso,['Cláudia Cadima'],"Sou o que tu podes chamar de processo contínuo
O fluxo de energia que desperta os inanimados
Sou a linha do tempo, sou o que alguns chamam destino
O que comes, cheiras, tocas, ouves e vês, culminados
Sou os momentos que servem para fortalecer o ser
Sou os altos e baixos deste caminho raso
Para alguns curta e bela, para outros longa de viver
Sou o apenas que é suposto, porque
NADA É POR ACASO",2017-04-30 00:00:00,https://genius.com/Grognation-nada-e-por-acaso-lyrics,31.0
2875,GROGNation,Bom Tempo,Nada É Por Acaso,[],"Alongo a alma e espreguiço o corpo
Yeah
Pronto para expandir a zona de conforto
Yeah
E ainda que o vento sopre torto
Que o bom tempo nos leve sempre a bom porto

Estou-me a tentar habituar ao que é melhor pra mim
Deixar a estrela em mim brilhar e me indicar o caminho
No ritual de tatuar o que sinto no pregaminho
Com a aquela black mastah vibe e a voz da tamin yeah
Somos chuva com sol
Que a brisa do mar nos escute e console
Que a nossa boca não acabe num anzol
A intuição não engana, é algodão
Da sonasol
Cabeça fria, coração quente
Temperatura temperada a equilibrar na tábua
O céu está limpo demais pra tempestades
Num copo de água
O céu está limpo demais pra tempestades
Num copo de água

Mana, ta bom tempo hoje há tempo, hoje já não trabalhas
Vou levar-te até a praia compensar-te as falhas
Traz contigo essas mortalhas hoje não tas sozinha
Faz a tua e eu na minha com uma bem fresquinha
Merdas na minha cabeça
Hoje não quero pensar nelas aconteça
O que aconteça , ontem a dor foi imensa
Que eu quase tive a certeza que a vida só dá tristeza
Mas no fim pensei, pra mim ,relaxei
Que não interessa idade e um bom sorriso não cansa
Hoje senti, mudei , e aqui é lei
Depois da tempestade a verdade trás a bonança
Porque o céu ta limpo demais para tempestades
Num copo de água
Céu ta limpo demais para tempestades

Alongo a alma e espreguiço o corpo
Yeah
Pronto para expandir a zona de conforto
Yeah
E ainda que o vento sopre torto
Que o bom tempo nos leve sempre a bom porto",2017-04-30 00:00:00,https://genius.com/Grognation-bom-tempo-lyrics,35.0
2878,GROGNation,Cara,Anatomia de Grog,[],"Comigo é agora ou nunca, tudo ou nada
Porque a minha fome é muita
Quando 'tou na estrada
Ou vai a bem ou vai à bruta
Até posso andar à chapada
Mas não viro a cara à luta até ter tudo que me agrada
Um gajo não ladra, morde tipo pit
E não larga
Não reflito, fito e dou carga
BBC vida selvagem
Mano, eu pinto o meu target
No conflito atrás do guito
Enquanto a pegada alarga

Nesta batalha exposto
Dar costas, transtorna
O encosto não me atrapalha
Sem apoio vou ao corner
De toalha branca no rosto e sem tirar uma sorna
Aposto a minha medalha
Como a força ainda me retorna
Por falha já fiquei a leste, a ver estrelas no espaço
Se calha em bater mal
É normal que a visão embace
Baixar a defesa, não resulta
É um erro crasso
Nunca viro a cara à luta
No máximo dou a outra face

Dá extra e sê extraordinário
Desta é até suares como o Mário
O resto tenta mas não é páreo (porque)
Essa luta é para vencer (vencer, vencer)
Essa luta é para vencer (vencer, vencer)
Calça as luvas e luta

Palavra de honra é que há mais lutas
Que o Vitória
És o que ficou na memória
Foi a história que eu não fiz sozinho
Faz as noites tenderem até de manhã
E a manter essa mente sã
E nunca te perderes pelo caminho
Se não for para ser grande, não vale
Quem diz ser gigante, eu igualo
Golias são dias que eu escalo
E não virar a luta por fumo que não me apago

Não viro a cara à luta
Nem que a luta me dê na cara
Mudei a conduta, pus as luvas
Ninguém me pára
Ninguém me cala
Eu já nem faço sala
Como a casa para pagar atrás da guita para a chavala
Não me encosto
Se vivo do que eu gosto
Eu duplico o esforço para colher o que é nosso
Ganhei estofo
Ganhei voz
Saí do fosso e não dou foco
Numa ambição feroz, eu tenho tudo e nada troco

Dá extra e sê extraordinário
Desta é até suares como o Mário
O resto tenta mas não é páreo (porque)
Essa luta é para vencer (vencer, vencer)
Essa luta é para vencer (vencer, vencer)
Calça as luvas e luta",2019-05-24 00:00:00,https://genius.com/Grognation-cara-lyrics,38.0
